"filename", "language", "JavaScript", "Markdown", "PHP", "PostCSS", "Vue", "YAML", "JSON", "XML", "JSON with Comments", "comment", "blank", "total"
"c:\xampp\htdocs\laravel\EMS\.github\workflows\issues.yml", "YAML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\xampp\htdocs\laravel\EMS\.github\workflows\pull-requests.yml", "YAML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\xampp\htdocs\laravel\EMS\.github\workflows\tests.yml", "YAML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 12, 48
"c:\xampp\htdocs\laravel\EMS\.github\workflows\update-changelog.yml", "YAML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"c:\xampp\htdocs\laravel\EMS\.styleci.yml", "YAML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\xampp\htdocs\laravel\EMS\CHANGELOG.md", "Markdown", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"c:\xampp\htdocs\laravel\EMS\README.md", "Markdown", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10
"c:\xampp\htdocs\laravel\EMS\app\Console\Kernel.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 7, 6, 28
"c:\xampp\htdocs\laravel\EMS\app\Events\LowStockDetectEvent.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 8, 6, 38
"c:\xampp\htdocs\laravel\EMS\app\Exceptions\Handler.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 0, 21, 7, 49
"c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\AnalysisController.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 0, 0, 22, 15, 63
"c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Api\AnalysisController.php", "PHP", 0, 0, 35, 0, 0, 0, 0, 0, 0, 7, 11, 53
"c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Api\ConsumableItemsController.php", "PHP", 0, 0, 46, 0, 0, 0, 0, 0, 0, 8, 11, 65
"c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Auth\AuthenticatedSessionController.php", "PHP", 0, 0, 34, 0, 0, 0, 0, 0, 0, 9, 11, 54
"c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Auth\ConfirmablePasswordController.php", "PHP", 0, 0, 30, 0, 0, 0, 0, 0, 0, 6, 7, 43
"c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Auth\EmailVerificationNotificationController.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 6, 26
"c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Auth\EmailVerificationPromptController.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 4, 24
"c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Auth\NewPasswordController.php", "PHP", 0, 0, 47, 0, 0, 0, 0, 0, 0, 14, 9, 70
"c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Auth\PasswordController.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 6, 30
"c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Auth\PasswordResetLinkController.php", "PHP", 0, 0, 33, 0, 0, 0, 0, 0, 0, 11, 8, 52
"c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Auth\RegisteredUserController.php", "PHP", 0, 0, 36, 0, 0, 0, 0, 0, 0, 8, 9, 53
"c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Auth\VerifyEmailController.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 6, 29
"c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\ConsumableItemsController.php", "PHP", 0, 0, 83, 0, 0, 0, 0, 0, 0, 11, 17, 111
"c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Controller.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\ImageTestController.php", "PHP", 0, 0, 83, 0, 0, 0, 0, 0, 0, 20, 28, 131
"c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\InventoryPlanController.php", "PHP", 0, 0, 35, 0, 0, 0, 0, 0, 0, 28, 12, 75
"c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\ItemController.php", "PHP", 0, 0, 205, 0, 0, 0, 0, 0, 0, 89, 58, 352
"c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\ProfileController.php", "PHP", 0, 0, 41, 0, 0, 0, 0, 0, 0, 9, 14, 64
"c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\UpdateStockController.php", "PHP", 0, 0, 41, 0, 0, 0, 0, 0, 0, 14, 16, 71
"c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\WishController.php", "PHP", 0, 0, 48, 0, 0, 0, 0, 0, 0, 27, 13, 88
"c:\xampp\htdocs\laravel\EMS\app\Http\Kernel.php", "PHP", 0, 0, 43, 0, 0, 0, 0, 0, 0, 20, 7, 70
"c:\xampp\htdocs\laravel\EMS\app\Http\Middleware\Authenticate.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 4, 18
"c:\xampp\htdocs\laravel\EMS\app\Http\Middleware\EncryptCookies.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\laravel\EMS\app\Http\Middleware\HandleInertiaRequests.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 13, 6, 46
"c:\xampp\htdocs\laravel\EMS\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\laravel\EMS\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 6, 31
"c:\xampp\htdocs\laravel\EMS\app\Http\Middleware\TrimStrings.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 4, 20
"c:\xampp\htdocs\laravel\EMS\app\Http\Middleware\TrustHosts.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 4, 21
"c:\xampp\htdocs\laravel\EMS\app\Http\Middleware\TrustProxies.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 5, 29
"c:\xampp\htdocs\laravel\EMS\app\Http\Middleware\ValidateSignature.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 11, 4, 23
"c:\xampp\htdocs\laravel\EMS\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
