Date : 2024-06-11 12:21:30
Directory : c:\xampp\htdocs\laravel\EMS
Total : 237 files,  24564 codes, 2253 comments, 1936 blanks, all 28753 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     16,152 |          0 |          5 |     16,157 |
| PHP                |        160 |      4,710 |      2,045 |      1,332 |      8,087 |
| Vue                |         54 |      3,496 |        170 |        539 |      4,205 |
| JavaScript         |          7 |         80 |         34 |         23 |        137 |
| YAML               |          5 |         73 |          0 |         25 |         98 |
| XML                |          1 |         29 |          2 |          1 |         32 |
| JSON with Comments |          1 |         11 |          0 |          1 |         12 |
| Markdown           |          2 |          9 |          0 |          9 |         18 |
| PostCSS            |          2 |          4 |          2 |          1 |          7 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |        237 |     24,564 |      2,253 |      1,936 |     28,753 |
| . (Files)                                                                                                                      |         12 |     16,112 |          3 |         23 |     16,138 |
| .github                                                                                                                        |          4 |         64 |          0 |         24 |         88 |
| .github\workflows                                                                                                              |          4 |         64 |          0 |         24 |         88 |
| app                                                                                                                            |         65 |      1,882 |        768 |        571 |      3,221 |
| app\Console                                                                                                                    |          1 |         15 |          7 |          6 |         28 |
| app\Events                                                                                                                     |          1 |         24 |          8 |          6 |         38 |
| app\Exceptions                                                                                                                 |          1 |         21 |         21 |          7 |         49 |
| app\Http                                                                                                                       |         40 |      1,273 |        501 |        371 |      2,145 |
| app\Http (Files)                                                                                                               |          1 |         43 |         20 |          7 |         70 |
| app\Http\Controllers                                                                                                           |         20 |        907 |        295 |        265 |      1,467 |
| app\Http\Controllers (Files)                                                                                                   |          9 |        571 |        220 |        177 |        968 |
| app\Http\Controllers\Api                                                                                                       |          2 |         81 |         15 |         22 |        118 |
| app\Http\Controllers\Auth                                                                                                      |          9 |        255 |         60 |         66 |        381 |
| app\Http\Middleware                                                                                                            |         10 |        127 |         70 |         45 |        242 |
| app\Http\Requests                                                                                                              |          9 |        196 |        116 |         54 |        366 |
| app\Http\Requests (Files)                                                                                                      |          8 |        145 |         95 |         40 |        280 |
| app\Http\Requests\Auth                                                                                                         |          1 |         51 |         21 |         14 |         86 |
| app\Listeners                                                                                                                  |          1 |         22 |         16 |          9 |         47 |
| app\Models                                                                                                                     |          9 |        229 |         21 |         68 |        318 |
| app\Notifications                                                                                                              |          1 |         30 |         17 |          9 |         56 |
| app\Observers                                                                                                                  |          1 |         51 |         30 |         16 |         97 |
| app\Policies                                                                                                                   |          3 |         87 |         84 |         30 |        201 |
| app\Providers                                                                                                                  |          5 |        101 |         47 |         33 |        181 |
| app\Services                                                                                                                   |          2 |         29 |         16 |         16 |         61 |
| bootstrap                                                                                                                      |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                                         |         15 |        545 |        728 |        247 |      1,520 |
| database                                                                                                                       |         51 |      1,292 |        364 |        235 |      1,891 |
| database\factories                                                                                                             |          5 |        177 |         47 |         31 |        255 |
| database\migrations                                                                                                            |         37 |        783 |        235 |        149 |      1,167 |
| database\seeders                                                                                                               |          9 |        332 |         82 |         55 |        469 |
| lang                                                                                                                           |          5 |        405 |         24 |         25 |        454 |
| lang (Files)                                                                                                                   |          1 |        141 |          0 |          1 |        142 |
| lang\ja                                                                                                                        |          4 |        264 |         24 |         24 |        312 |
| public                                                                                                                         |          1 |         14 |         30 |         12 |         56 |
| resources                                                                                                                      |         60 |      3,666 |        203 |        582 |      4,451 |
| resources\css                                                                                                                  |          1 |          3 |          0 |          1 |          4 |
| resources\js                                                                                                                   |         57 |      3,527 |        203 |        554 |      4,284 |
| resources\js (Files)                                                                                                           |          3 |         31 |         33 |         15 |         79 |
| resources\js\Components                                                                                                        |         19 |        464 |          4 |         75 |        543 |
| resources\js\Layouts                                                                                                           |          3 |        318 |         25 |         34 |        377 |
| resources\js\Pages                                                                                                             |         32 |      2,714 |        141 |        430 |      3,285 |
